traveler_id,name,nationality,gender,age,synthetic,persona_match,base_city,base_country,base_country_code,base_inference,base_region,base_detailed_region,home_airport,trip_count,distinct_destinations,first_year,last_year,trips_per_year,cold_start,pref_unesco,pref_michelin,pref_weather,pref_allocentric,pref_holiday,pref_beach,pref_ski,scored_trips,median_duration_days,median_accommodation_cost,median_transportation_cost,first_class_share,loyalist_carrier,tag_labels,home_airport_is_hub,distinct_carriers,entropy,entropy_norm_global,region_entropy_norm_global,tag_count,month_share_january,month_share_february,month_share_march,month_share_april,month_share_may,month_share_june,month_share_july,month_share_august,month_share_september,month_share_october,month_share_november,month_share_december
persephone,Persephone,American,Female,29,1,authored,Phoenix,United States,US,declared,Americas,Northern America,PHX,24,6,2020,2025,4.0,0,0.1835,0.4125,0.6997,0.2248,0.0,0.25,0.0,"{""unesco"": 24, ""michelin"": 24, ""weather"": 24, ""allocentric"": 24}",5.0,925.0,300.0,0.0,,American Hub,1,12,1.7918,0.3345,0.2059,1,0.0,0.25,0.0,0.0,0.25,0.0,0.0,0.0,0.25,0.0,0.0,0.25
perseus,Perseus,American,Male,32,1,authored,Jacksonville,United States,US,declared,Americas,Northern America,JAX,24,6,2018,2025,3.0,0,0.1245,0.7182,0.7455,0.0981,0.0,0.3333,0.1667,"{""unesco"": 24, ""michelin"": 24, ""weather"": 24, ""allocentric"": 24}",4.5,975.0,300.0,0.0,,Skier,,9,1.7918,0.3345,0.0,1,0.0,0.0,0.3333,0.0,0.0,0.0,0.3333,0.0,0.0,0.3333,0.0,0.0
pierre-auguste-renoir,Pierre-Auguste Renoir,American,Male,68,1,authored,San Francisco,United States,US,declared,Americas,Northern America,SFO,24,1,2018,2025,3.0,1,0.0,0.612,0.7987,0.2009,0.3333,0.3333,0.0,"{""unesco"": 24, ""michelin"": 24, ""weather"": 24, ""allocentric"": 24}",5.0,,250.0,0.0,United Air Lines Inc.,United Loyalist|United Hub,1,1,0.0,0.0,0.0,2,0.0,0.0,0.0,0.3333,0.0,0.0,0.0,0.3333,0.0,0.0,0.0,0.3333
ares,Ares,American,Male,42,1,authored,San Antonio,United States,US,declared,Americas,Northern America,SAT,21,6,2019,2025,3.0,0,0.196,0.4608,0.777,0.2437,0.0,0.1429,0.0,"{""unesco"": 21, ""michelin"": 21, ""weather"": 21, ""allocentric"": 21}",5.0,925.0,400.0,0.0,,,,9,1.7815,0.3326,0.2239,0,0.0,0.3333,0.0,0.0,0.0,0.0,0.3333,0.0,0.0,0.3333,0.0,0.0
dionysus,Dionysus,American,Male,41,1,authored,Austin,United States,US,declared,Americas,Northern America,AUS,21,6,2019,2025,3.0,0,0.3309,0.6938,0.7389,0.1598,0.0,0.1905,0.0,"{""unesco"": 21, ""michelin"": 21, ""weather"": 21, ""allocentric"": 21}",7.0,1100.0,425.0,0.0,,,,8,1.7815,0.3326,0.4086,0,0.3333,0.0,0.0,0.0,0.0,0.3333,0.0,0.0,0.3333,0.0,0.0,0.0
luis-miguel,Luis Miguel,Mexican,Male,,1,authored,Mexico City,Mexico,MX,declared,Americas,Central America,,21,19,2023,2023,21.0,0,0.1554,0.5331,0.7552,0.159,0.0,0.25,0.0,"{""unesco"": 20, ""michelin"": 20, ""weather"": 18, ""allocentric"": 20}",1.0,,,0.0,,,,7,2.7726,0.5176,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333,0.5238,0.1429,0.0
mrs-meyers,Mrs. Meyers,American,Female,32,1,authored,St. Louis,United States,US,declared,Americas,Northern America,STL,21,3,2019,2025,3.0,0,0.0963,0.312,0.7487,0.2097,0.0,0.6667,0.0,"{""unesco"": 21, ""michelin"": 21, ""weather"": 21, ""allocentric"": 21}",4.0,1025.0,325.0,0.0,Southwest Airlines Co.,Southwest Loyalist,,1,1.0986,0.2051,0.2059,1,0.0,0.0,0.3333,0.0,0.0,0.3333,0.0,0.0,0.0,0.3333,0.0,0.0
narcissus,Narcissus,American,Male,33,1,authored,New York City,United States,US,declared,Americas,Northern America,EWR,21,6,2019,2025,3.0,0,0.1651,0.5849,0.7011,0.2345,0.0,0.3333,0.0,"{""unesco"": 21, ""michelin"": 21, ""weather"": 21, ""allocentric"": 21}",7.0,1100.0,425.0,0.0,,Multi Hub,1,8,1.7815,0.3326,0.4086,1,0.0,0.0,0.3333,0.0,0.0,0.0,0.3333,0.0,0.0,0.3333,0.0,0.0
richard-feynman,Richard Feynman,American,Male,45,1,authored,Charlotte,United States,US,declared,Americas,Northern America,CLT,21,3,2019,2025,3.0,0,0.2237,0.4567,0.7617,0.2365,0.0,0.0,0.0,"{""unesco"": 21, ""michelin"": 21, ""weather"": 21, ""allocentric"": 21}",4.0,975.0,300.0,0.0,American Airlines Inc.,American Loyalist|American Hub,1,1,1.0986,0.2051,0.2059,2,0.0,0.0,0.0,0.3333,0.0,0.3333,0.0,0.0,0.0,0.3333,0.0,0.0
albert-einstein,Albert Einstein,American,Male,56,1,authored,Dallas,United States,US,declared,Americas,Northern America,DFW,20,1,2016,2025,2.0,1,0.671,0.954,0.7565,0.1327,0.0,0.0,0.0,"{""unesco"": 20, ""michelin"": 20, ""weather"": 20, ""allocentric"": 20}",7.0,2000.0,975.0,0.0,American Airlines Inc.,American Loyalist|American Hub,1,1,0.0,0.0,0.0,2,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
dr-valentini,Dr. Valentini,American,Male,43,1,authored,Houston,United States,US,declared,Americas,Northern America,HOU,20,1,2016,2025,2.0,1,0.0,0.283,0.715,0.3101,0.0,1.0,0.0,"{""unesco"": 20, ""michelin"": 20, ""weather"": 20, ""allocentric"": 20}",7.0,1125.0,475.0,0.0,Southwest Airlines Co.,Southwest Loyalist|United Hub,0,1,0.0,0.0,0.0,2,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
dr-varella,Dr. Varella,American,Male,38,1,authored,Chicago,United States,US,declared,Americas,Northern America,MDW,20,1,2016,2025,2.0,1,0.0,0.567,0.7486,0.1902,0.5,1.0,0.0,"{""unesco"": 20, ""michelin"": 20, ""weather"": 20, ""allocentric"": 20}",6.0,1200.0,362.5,0.0,Southwest Airlines Co.,Southwest Loyalist|Multi Hub,0,1,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5
isaac-newton,Isaac Newton,American,Male,53,1,authored,Chicago,United States,US,declared,Americas,Northern America,ORD,20,1,2016,2025,2.0,1,0.0,0.591,0.7137,0.1555,1.0,0.0,1.0,"{""unesco"": 20, ""michelin"": 20, ""weather"": 20, ""allocentric"": 20}",6.5,1200.0,362.5,0.0,American Airlines Inc.,American Loyalist|Multi Hub|Skier,1,1,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5
joaquin-sorolla,Joaquín Sorolla,American,Male,58,1,authored,New York City,United States,US,declared,Americas,Northern America,EWR,20,11,2016,2025,2.0,0,0.3321,0.6844,0.7492,0.2373,0.5,0.35,0.0,"{""unesco"": 20, ""michelin"": 20, ""weather"": 19, ""allocentric"": 20}",10.5,1837.5,575.0,0.0,United Air Lines Inc.,United Loyalist|Multi Hub,1,1,1.8444,0.3443,0.3052,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.5
louis-pasteur,Louis Pasteur,American,Male,70,1,authored,Philadelphia,United States,US,declared,Americas,Northern America,PHL,20,1,2016,2025,2.0,1,,,,,0.5,0.0,0.0,"{""unesco"": 0, ""michelin"": 0, ""weather"": 0, ""allocentric"": 0}",8.0,1200.0,362.5,0.0,American Airlines Inc.,American Loyalist|American Hub,1,1,0.0,0.0,0.0,2,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5
mr-turner,Mr. Turner,American,Male,53,1,authored,Seattle,United States,US,declared,Americas,Northern America,SEA,20,1,2016,2025,2.0,1,,,,,0.5,0.0,0.0,"{""unesco"": 0, ""michelin"": 0, ""weather"": 0, ""allocentric"": 0}",8.0,1200.0,362.5,0.0,Alaska Airlines Inc.,Alaska Loyalist|Alaska Hub,1,1,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.5
william-campbell,William Campbell,American,Male,34,1,authored,Seattle,United States,US,declared,Americas,Northern America,SEA,20,1,2016,2025,2.0,1,0.289,0.999,0.6835,0.2007,0.0,0.0,0.0,"{""unesco"": 20, ""michelin"": 20, ""weather"": 20, ""allocentric"": 20}",12.0,3237.5,1125.0,0.0,Alaska Airlines Inc.,Alaska Loyalist|Alaska Hub,1,1,0.0,0.0,0.0,2,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0
joe-garner,Joe Garner,American,Male,56,1,authored,Los Angeles,United States,US,declared,Americas,Northern America,LAX,18,1,2017,2025,2.0,1,0.458,0.379,0.767,0.3851,0.0,0.0,0.0,"{""unesco"": 18, ""michelin"": 18, ""weather"": 18, ""allocentric"": 18}",5.0,700.0,450.0,0.0,Alaska Airlines Inc.,Alaska Loyalist|Multi Hub,1,1,0.0,0.0,0.0,2,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
john-collins,John Collins,American,Male,47,1,authored,Portland,United States,US,declared,Americas,Northern America,PDX,18,1,2017,2025,2.0,1,,,,,0.5,0.0,0.0,"{""unesco"": 0, ""michelin"": 0, ""weather"": 0, ""allocentric"": 0}",6.0,1175.0,350.0,0.0,Alaska Airlines Inc.,Alaska Loyalist|Alaska Hub,1,1,0.0,0.0,0.0,2,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0
lord-rymel,Lord Rymel,,,25,1,authored,"Washington, D.C.",United States,US,declared,Americas,Northern America,,18,6,2020,2026,2.57,0,0.0539,0.5334,0.7488,0.1947,0.0,0.3889,0.0,"{""unesco"": 17, ""michelin"": 17, ""weather"": 16, ""allocentric"": 17}",0.0,,,0.0,,Multi Hub,,3,1.4594,0.2724,0.0694,1,0.1111,0.1111,0.0,0.0,0.2222,0.0,0.0,0.2222,0.0,0.1111,0.0,0.2222
miss-van-campen,Miss Van Campen,American,Female,45,1,authored,Phoenix,United States,US,declared,Americas,Northern America,PHX,18,1,2017,2025,2.0,1,0.289,0.448,,0.4222,0.0,1.0,0.0,"{""unesco"": 18, ""michelin"": 18, ""weather"": 0, ""allocentric"": 18}",6.0,1100.0,475.0,0.0,Southwest Airlines Co.,Southwest Loyalist|American Hub,1,1,0.0,0.0,0.0,2,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0
mr-guttingen,Mr. Guttingen,American,Male,50,1,authored,Denver,United States,US,declared,Americas,Northern America,DEN,18,1,2017,2025,2.0,1,0.0,0.612,0.7994,0.2009,0.5,0.5,0.0,"{""unesco"": 18, ""michelin"": 18, ""weather"": 18, ""allocentric"": 18}",5.5,1175.0,350.0,0.0,Southwest Airlines Co.,Southwest Loyalist|United Hub,1,1,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.5,0.0
theseus,Theseus,American,Male,33,1,authored,Fort Worth,United States,US,declared,Americas,Northern America,DFW,18,6,2020,2025,3.0,0,0.2082,0.7338,0.7118,0.1831,0.0,0.3333,0.0,"{""unesco"": 18, ""michelin"": 18, ""weather"": 18, ""allocentric"": 18}",5.0,962.5,300.0,0.0,,American Hub,1,9,1.7918,0.3345,0.2807,1,0.0,0.0,0.0,0.3333,0.0,0.0,0.0,0.3333,0.0,0.0,0.3333,0.0
conan-o-brien,Conan O'Brien,American,Male,63,1,authored,New York City,United States,US,declared,Americas,Northern America,JFK,17,17,2015,2026,1.42,0,0.4648,0.5518,0.7591,0.3454,0.0,0.1765,0.0,"{""unesco"": 17, ""michelin"": 17, ""weather"": 17, ""allocentric"": 17}",5.0,,,1.0,,Multi Hub,1,5,2.8332,0.5289,0.6856,1,0.1176,0.0,0.1176,0.2941,0.1176,0.0,0.0,0.0588,0.1176,0.0,0.1176,0.0588
maria-zardoya,María Zardoya,American,Female,,1,authored,Los Angeles,United States,US,declared,Americas,Northern America,,17,17,2024,2024,17.0,0,0.0779,0.5488,0.7642,0.1373,0.0,0.4375,0.0,"{""unesco"": 17, ""michelin"": 17, ""weather"": 17, ""allocentric"": 17}",1.0,,,0.0,,Multi Hub,,9,2.7726,0.5176,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.4706,0.5294,0.0,0.0,0.0,0.0
claude-monet,Claude Monet,American,Male,59,1,authored,Chicago,United States,US,declared,Americas,Northern America,ORD,16,1,2018,2025,2.0,1,0.0,0.0,0.5425,0.2557,0.5,0.0,0.0,"{""unesco"": 16, ""michelin"": 16, ""weather"": 16, ""allocentric"": 16}",4.5,,250.0,0.0,United Air Lines Inc.,United Loyalist|Multi Hub,1,1,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5
count-greffi,Count Greffi,American,Male,52,1,authored,Baltimore,United States,US,declared,Americas,Northern America,BWI,16,1,2018,2025,2.0,1,,,,,0.0,0.0,0.0,"{""unesco"": 0, ""michelin"": 0, ""weather"": 0, ""allocentric"": 0}",7.0,1250.0,537.5,0.0,Southwest Airlines Co.,Southwest Loyalist,,1,0.0,0.0,0.0,1,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0
duke-ellington,Duke Ellington,American,Male,55,1,authored,Salt Lake City,United States,US,declared,Americas,Northern America,SLC,16,1,2018,2025,2.0,1,0.0,0.0,0.708,0.2287,0.5,0.0,0.0,"{""unesco"": 16, ""michelin"": 16, ""weather"": 16, ""allocentric"": 16}",6.0,,250.0,0.0,Delta Air Lines Inc.,Delta Loyalist|Delta Hub,1,1,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5
edgar-degas,Edgar Degas,American,Male,64,1,authored,Denver,United States,US,declared,Americas,Northern America,DEN,16,1,2018,2025,2.0,1,0.0,0.521,0.6525,0.1617,0.5,0.5,0.0,"{""unesco"": 16, ""michelin"": 16, ""weather"": 16, ""allocentric"": 16}",6.0,,375.0,0.0,United Air Lines Inc.,United Loyalist|United Hub,1,1,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.5
marie-curie,Marie Curie,American,Female,48,1,authored,Miami,United States,US,declared,Americas,Northern America,MIA,16,1,2018,2025,2.0,1,0.289,0.622,0.75,0.3361,0.0,0.0,0.0,"{""unesco"": 16, ""michelin"": 16, ""weather"": 16, ""allocentric"": 16}",8.0,1375.0,712.5,0.0,American Airlines Inc.,American Loyalist|American Hub,1,1,0.0,0.0,0.0,2,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0
mrs-garner,Mrs. Garner,American,Female,42,1,authored,San Francisco,United States,US,declared,Americas,Northern America,SFO,16,1,2018,2025,2.0,1,0.0,0.653,0.739,0.1487,0.5,1.0,0.0,"{""unesco"": 16, ""michelin"": 16, ""weather"": 16, ""allocentric"": 16}",5.5,1150.0,350.0,0.0,Alaska Airlines Inc.,Alaska Loyalist|United Hub,1,1,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5
sarah-vaughan,Sarah Vaughan,American,Female,66,1,authored,New York City,United States,US,declared,Americas,Northern America,LGA,16,1,2018,2025,2.0,1,0.0,0.548,0.7355,0.192,0.0,0.0,0.0,"{""unesco"": 16, ""michelin"": 16, ""weather"": 16, ""allocentric"": 16}",5.0,,375.0,0.0,Delta Air Lines Inc.,Delta Loyalist|Multi Hub,1,1,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0
wes-montgomery,Wes Montgomery,American,Male,52,1,authored,Seattle,United States,US,declared,Americas,Northern America,SEA,16,4,2016,2025,1.6,0,0.2752,0.8655,0.6978,0.2434,0.0,0.25,0.0,"{""unesco"": 16, ""michelin"": 16, ""weather"": 16, ""allocentric"": 16}",12.0,3237.5,1137.5,0.0,Delta Air Lines Inc.,Delta Loyalist|Alaska Hub,1,1,1.3863,0.2588,0.0,2,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.0
andy-warhol,Andy Warhol,American,Male,46,1,authored,Houston,United States,US,declared,Americas,Northern America,IAH,15,12,2020,2025,2.5,0,0.2843,0.3211,0.736,0.4497,0.0,0.4667,0.0,"{""unesco"": 13, ""michelin"": 13, ""weather"": 10, ""allocentric"": 13}",4.0,700.0,425.0,0.0,United Air Lines Inc.,United Loyalist|United Hub,1,1,2.4308,0.4538,0.0,2,0.0,0.1333,0.1333,0.1333,0.0,0.1333,0.0667,0.0,0.1333,0.1333,0.1333,0.0
gordon-ramsay,Gordon Ramsay,British,Male,57,1,authored,Los Angeles,United States,US,declared,Americas,Northern America,,15,15,2019,2024,2.5,0,0.224,0.3843,0.7515,0.32,0.0,0.1333,0.0,"{""unesco"": 13, ""michelin"": 13, ""weather"": 11, ""allocentric"": 13}",5.0,,,1.0,,Multi Hub,,8,2.7081,0.5056,0.4575,1,0.0,0.0,0.0,0.0,0.2,0.3333,0.2667,0.2,0.0,0.0,0.0,0.0
icarus,Icarus,American,Male,26,1,authored,Austin,United States,US,declared,Americas,Northern America,AUS,15,6,2021,2025,3.0,0,0.3737,0.5774,0.7712,0.2216,0.0,0.2667,0.0,"{""unesco"": 15, ""michelin"": 15, ""weather"": 13, ""allocentric"": 15}",5.0,1000.0,400.0,0.0,,,,8,1.7716,0.3307,0.3377,0,0.0,0.0,0.3333,0.0,0.0,0.0,0.3333,0.0,0.0,0.0,0.3333,0.0
john-coltrane,John Coltrane,American,Male,51,1,authored,Minneapolis,United States,US,declared,Americas,Northern America,MSP,15,11,2021,2025,3.0,0,0.1927,0.3017,0.7355,0.3937,0.0,0.4,0.0,"{""unesco"": 6, ""michelin"": 6, ""weather"": 2, ""allocentric"": 6}",7.0,1200.0,500.0,0.0,Delta Air Lines Inc.,Delta Loyalist|Delta Hub,1,1,2.3384,0.4365,0.2177,2,0.3333,0.3333,0.3333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nick-adams,Nick Adams,American,Male,33,1,authored,Chicago,United States,US,declared,Americas,Northern America,ORD,15,1,2021,2025,3.0,1,,,,,0.0,0.0,0.0,"{""unesco"": 0, ""michelin"": 0, ""weather"": 0, ""allocentric"": 0}",3.0,900.0,260.0,0.0,United Air Lines Inc.,United Loyalist|Multi Hub,1,1,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.3333,0.0,0.1333,0.2,0.3333,0.0,0.0
thelonious-monk,Thelonious Monk,American,Male,61,1,authored,Los Angeles,United States,US,declared,Americas,Northern America,LAX,14,4,2019,2025,2.0,0,0.1928,0.174,0.7191,0.3617,0.0,0.7143,0.0,"{""unesco"": 14, ""michelin"": 14, ""weather"": 14, ""allocentric"": 14}",14.0,3000.0,1075.0,0.0,Delta Air Lines Inc.,Delta Loyalist|Multi Hub,1,1,1.3761,0.2569,0.0,2,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0
jackson-pollock,Jackson Pollock,American,Male,35,1,authored,Chicago,United States,US,declared,Americas,Northern America,ORD,12,1,2025,2025,12.0,1,0.0,0.717,0.67,0.1631,0.0,0.0,0.0,"{""unesco"": 12, ""michelin"": 12, ""weather"": 12, ""allocentric"": 12}",5.0,850.0,250.0,0.0,United Air Lines Inc.,United Loyalist|Multi Hub,1,1,0.0,0.0,0.0,2,0.0833,0.0833,0.0833,0.0833,0.0833,0.0833,0.0833,0.0833,0.0833,0.0833,0.0833,0.0833
bill-evans,Bill Evans,American,Male,60,1,authored,Detroit,United States,US,declared,Americas,Northern America,DTW,10,1,2016,2025,1.0,1,0.747,0.819,0.786,0.2178,0.0,0.0,0.0,"{""unesco"": 10, ""michelin"": 10, ""weather"": 10, ""allocentric"": 10}",10.0,2737.5,975.0,0.0,Delta Air Lines Inc.,Delta Loyalist|Delta Hub,1,1,0.0,0.0,0.0,2,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bill-gorton,Bill Gorton,American,Male,40,1,authored,New York City,United States,US,declared,Americas,Northern America,LGA,10,2,2021,2025,2.0,0,0.0,0.087,0.734,0.2374,0.0,0.0,0.0,"{""unesco"": 10, ""michelin"": 10, ""weather"": 10, ""allocentric"": 10}",2.5,980.0,230.0,0.0,Delta Air Lines Inc.,Delta Loyalist|Multi Hub,1,1,0.6931,0.1294,0.0,2,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.0
brett-ashley,Brett Ashley,American,Female,38,1,authored,New York City,United States,US,declared,Americas,Northern America,JFK,10,2,2021,2025,2.0,0,0.0,0.548,0.738,0.2141,0.0,1.0,0.0,"{""unesco"": 10, ""michelin"": 10, ""weather"": 10, ""allocentric"": 10}",2.5,1600.0,340.0,0.0,Delta Air Lines Inc.,Delta Loyalist|Multi Hub,1,1,0.6931,0.1294,0.0,2,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
catherine-barkley,Catherine Barkley,American,Female,32,1,authored,Seattle,United States,US,declared,Americas,Northern America,SEA,10,2,2021,2025,2.0,0,0.0,0.0,0.749,0.2494,0.0,0.0,0.0,"{""unesco"": 10, ""michelin"": 10, ""weather"": 5, ""allocentric"": 10}",2.5,1100.0,240.0,0.0,Alaska Airlines Inc.,Alaska Loyalist|Alaska Hub,1,1,0.6931,0.1294,0.0,2,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0
edward-hopper,Edward Hopper,American,Male,61,1,authored,San Francisco,United States,US,declared,Americas,Northern America,SFO,10,7,2016,2025,1.0,0,0.278,0.9069,0.6958,0.2512,0.0,0.3,0.0,"{""unesco"": 10, ""michelin"": 10, ""weather"": 10, ""allocentric"": 10}",12.0,3237.5,1125.0,0.0,,United Hub,1,3,1.8344,0.3425,0.1052,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
frederic-henry,Frederic Henry,American,Male,35,1,authored,Chicago,United States,US,declared,Americas,Northern America,ORD,10,1,2021,2025,2.0,1,,,,,0.0,0.0,0.0,"{""unesco"": 0, ""michelin"": 0, ""weather"": 0, ""allocentric"": 0}",3.0,1250.0,330.0,0.0,United Air Lines Inc.,United Loyalist|Multi Hub,1,1,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.2,0.3,0.0,0.0,0.0
helen-ferguson,Helen Ferguson,American,Female,37,1,authored,Detroit,United States,US,declared,Americas,Northern America,DTW,10,1,2021,2025,2.0,1,,,,,0.0,0.0,0.0,"{""unesco"": 0, ""michelin"": 0, ""weather"": 0, ""allocentric"": 0}",2.5,760.0,195.0,0.0,Delta Air Lines Inc.,Delta Loyalist|Delta Hub,1,1,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.2,0.3,0.0,0.0,0.0
jake-barnes,Jake Barnes,American,Male,38,1,authored,Kansas City,United States,US,declared,Americas,Northern America,MCI,10,2,2021,2025,2.0,0,0.0,0.5695,0.7275,0.1737,0.0,0.0,0.5,"{""unesco"": 10, ""michelin"": 10, ""weather"": 10, ""allocentric"": 10}",3.5,1050.0,310.0,0.0,,Skier,,2,0.6931,0.1294,0.0,1,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0
krebs,Krebs,American,Male,30,1,authored,Oklahoma City,United States,US,declared,Americas,Northern America,OKC,10,2,2021,2025,2.0,0,0.0,0.591,0.785,0.1555,0.0,0.0,0.0,"{""unesco"": 5, ""michelin"": 5, ""weather"": 5, ""allocentric"": 5}",3.0,640.0,220.0,0.0,,,,2,0.6931,0.1294,0.0,0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0
manuel-garcia,Manuel Garcia,American,Male,42,1,authored,Los Angeles,United States,US,declared,Americas,Northern America,LAX,10,2,2021,2025,2.0,0,0.0,0.306,0.825,0.177,0.0,0.5,0.0,"{""unesco"": 10, ""michelin"": 10, ""weather"": 10, ""allocentric"": 10}",3.5,950.0,165.0,0.0,American Airlines Inc.,American Loyalist|Multi Hub,1,1,0.6931,0.1294,0.0,2,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0
mike-campbell,Mike Campbell,American,Male,41,1,authored,Boston,United States,US,declared,Americas,Northern America,BOS,10,2,2021,2025,2.0,0,0.0,0.543,0.72,0.142,0.0,0.5,0.0,"{""unesco"": 10, ""michelin"": 10, ""weather"": 10, ""allocentric"": 10}",3.0,1400.0,290.0,0.0,American Airlines Inc.,American Loyalist,,1,0.6931,0.1294,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.3,0.5,0.0,0.0
niels-bohr,Niels Bohr,American,Male,64,1,authored,Philadelphia,United States,US,declared,Americas,Northern America,PHL,10,1,2016,2025,1.0,1,0.578,0.642,0.835,0.3323,0.0,1.0,0.0,"{""unesco"": 10, ""michelin"": 10, ""weather"": 10, ""allocentric"": 10}",10.0,2737.5,975.0,0.0,American Airlines Inc.,American Loyalist|American Hub,1,1,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
ole-andreson,Ole Andreson,American,Male,46,1,authored,Chicago,United States,US,declared,Americas,Northern America,ORD,10,2,2021,2025,2.0,0,0.1445,0.0,0.755,0.2807,0.0,0.0,0.0,"{""unesco"": 10, ""michelin"": 10, ""weather"": 10, ""allocentric"": 10}",3.0,700.0,180.0,0.0,United Air Lines Inc.,United Loyalist|Multi Hub,1,1,0.6931,0.1294,0.0,2,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.0
pedro-romero,Pedro Romero,American,Male,28,1,authored,San Antonio,United States,US,declared,Americas,Northern America,SAT,10,2,2021,2025,2.0,0,0.1445,0.2955,0.75,0.1629,0.0,0.0,0.0,"{""unesco"": 10, ""michelin"": 10, ""weather"": 10, ""allocentric"": 10}",3.5,870.0,275.0,0.0,,,,2,0.6931,0.1294,0.0,0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0
rinaldi,Rinaldi,American,Male,39,1,authored,Philadelphia,United States,US,declared,Americas,Northern America,PHL,10,2,2021,2025,2.0,0,0.0,0.0,0.716,0.2636,0.0,0.0,0.0,"{""unesco"": 5, ""michelin"": 5, ""weather"": 5, ""allocentric"": 5}",2.5,820.0,215.0,0.0,American Airlines Inc.,American Loyalist|American Hub,1,1,0.6931,0.1294,0.0,2,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.0
robert-cohn,Robert Cohn,American,Male,43,1,authored,Newark,United States,US,declared,Americas,Northern America,EWR,10,2,2021,2025,2.0,0,0.0,0.2605,0.7644,0.1952,0.0,1.0,0.0,"{""unesco"": 10, ""michelin"": 10, ""weather"": 10, ""allocentric"": 10}",3.5,1150.0,245.0,0.0,United Air Lines Inc.,United Loyalist|Multi Hub,1,1,0.6931,0.1294,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.2,0.3,0.0,0.0,0.0
