traveler_id,name,trip_count,trips_with_carrier,distinct_carriers,top_carrier,top_carrier_share,below_min_trips,base_city,base_inference,home_airport,hub_city,hub_airlines,home_airport_is_hub,classifiable_trips,ski_trips,trip_pattern_near_miss,tags
george-orwell,George Orwell,1,0,0,,,False,Manchester,avoided_visited,,,,,0,0,False,
grazia-deledda,Grazia Deledda,1,0,0,,,False,Milan,avoided_visited,,,,,0,0,False,
han-yong-un,Han Yong-un,1,0,0,,,False,Seoul,primary,,,,,0,0,False,
harper-lee,Harper Lee,1,0,0,,,False,"Washington, D.C.",primary,,,,,0,0,False,
hella-haasse,Hella Haasse,1,0,0,,,False,Rotterdam,avoided_visited,,,,,0,0,False,
henry-lawson,Henry Lawson,1,0,0,,,False,Melbourne,avoided_visited,,,,,0,0,False,
heo-nanseolheon,Heo Nanseolheon,1,0,0,,,False,Busan,avoided_visited,,,,,0,0,False,
herman-melville,Herman Melville,1,0,0,,,False,"Washington, D.C.",primary,,,,,0,0,False,
ho-xuan-huong,Ho Xuan Huong,1,0,0,,,False,Ho Chi Minh City,primary,,,,,0,0,False,
hwang-jini,Hwang Jini,1,0,0,,,False,Seoul,primary,,,,,0,0,False,
hyun-jin-geon,Hyun Jin-geon,1,0,0,,,False,Seoul,primary,,,,,0,0,False,
jack-london,Jack London,1,0,0,,,False,"Washington, D.C.",primary,,,,,0,0,False,
james-baldwin,James Baldwin,1,0,0,,,False,"Washington, D.C.",primary,,,,,0,0,False,
jane-austen,Jane Austen,1,0,0,,,False,London,primary,,,,,0,0,False,
jin-yong,Jin Yong,1,0,0,,,False,Hong Kong,primary,,,,,0,0,False,
joao-guimaraes-rosa,Joao Guimaraes Rosa,1,0,0,,,False,Sao Paulo,primary,,,,,0,0,False,
johann-wolfgang-von-goethe,Johann Wolfgang von Goethe,1,0,0,,,False,Berlin,primary,,,,,0,0,False,
john-steinbeck,John Steinbeck,1,0,0,,,False,"Washington, D.C.",primary,,,,,0,0,False,
jorge-amado,Jorge Amado,1,0,0,,,False,Sao Paulo,primary,,,,,0,0,False,
kamala-das,Kamala Das,1,0,0,,,False,Mumbai,primary,,,,,0,0,False,
kang-kyeong-ae,Kang Kyeong-ae,1,0,0,,,False,Seoul,primary,,,,,0,0,False,
kenzaburo-oe,Kenzaburo Oe,1,0,0,,,False,Tokyo,primary,,,,,0,0,False,
kim-dong-ni,Kim Dong-ni,1,0,0,,,False,Seoul,primary,,,,,0,0,False,
kim-myeong-sun,Kim Myeong-sun,1,0,0,,,False,Seoul,primary,,,,,0,0,False,
kim-su-yong,Kim Su-yong,1,0,0,,,False,Seoul,primary,,,,,0,0,False,
kurt-vonnegut,Kurt Vonnegut,1,0,0,,,False,"Washington, D.C.",primary,,,,,0,0,False,
l-m-montgomery,L. M. Montgomery,1,0,0,,,False,Toronto,primary,,,,,0,0,False,
lao-she,Lao She,1,0,0,,,False,Beijing,primary,,,,,0,0,False,
leonard-cohen,Leonard Cohen,1,0,0,,,False,Toronto,primary,,,,,0,0,False,
lin-hai-yin,Lin Hai-yin,1,0,0,,,False,Taipei,primary,,,,,0,0,False,
lu-xun,Lu Xun,1,0,0,,,False,Beijing,primary,,,,,0,0,False,
machado-de-assis,Machado de Assis,1,0,0,,,False,Sao Paulo,primary,,,,,0,0,False,
mahasweta-devi,Mahasweta Devi,1,0,0,,,False,Mumbai,primary,,,,,0,0,False,
margaret-laurence,Margaret Laurence,1,0,0,,,False,Toronto,primary,,,,,0,0,False,
maria-zambrano,Maria Zambrano,1,0,0,,,False,Madrid,primary,,,,,0,0,False,
mark-twain,Mark Twain,1,0,0,,,False,"Washington, D.C.",primary,,,,,0,0,False,
mary-shelley,Mary Shelley,1,0,0,,,False,Manchester,avoided_visited,,,,,0,0,False,
mavis-gallant,Mavis Gallant,1,0,0,,,False,Toronto,primary,,,,,0,0,False,
maya-angelou,Maya Angelou,1,0,0,,,False,"Washington, D.C.",primary,,,,,0,0,False,
miguel-de-cervantes,Miguel de Cervantes,1,0,0,,,False,Madrid,primary,,,,,0,0,False,
miles-franklin,Miles Franklin,1,0,0,,,False,Melbourne,avoided_visited,,,,,0,0,False,
mordecai-richler,Mordecai Richler,1,0,0,,,False,Toronto,primary,,,,,0,0,False,
na-hye-sok,Na Hye-sok,1,0,0,,,False,Seoul,primary,,,,,0,0,False,
natalia-ginzburg,Natalia Ginzburg,1,0,0,,,False,Milan,avoided_visited,,,,,0,0,False,
nguyen-du,Nguyen Du,1,0,0,,,False,Ho Chi Minh City,primary,,,,,0,0,False,
nhok-them,Nhok Them,1,0,0,,,False,Siem Reap,avoided_visited,,,,,0,0,False,
nieh-hualing,Nieh Hualing,1,0,0,,,False,Taipei,primary,,,,,0,0,False,
nikos-kazantzakis,Nikos Kazantzakis,1,0,0,,,False,Athens,primary,,,,,0,0,False,
no-cheon-myeong,No Cheon-myeong,1,0,0,,,False,Seoul,primary,,,,,0,0,False,
oriana-fallaci,Oriana Fallaci,1,0,0,,,False,Milan,avoided_visited,,,,,0,0,False,
ousha-bint-khalifa-al-suwaidi,Ousha bint Khalifa Al Suwaidi,1,0,0,,,False,Abu Dhabi,avoided_visited,,,,,0,0,False,
p-k-page,P. K. Page,1,0,0,,,False,Toronto,primary,,,,,0,0,False,
park-kyong-ni,Park Kyong-ni,1,0,0,,,False,Seoul,primary,,,,,0,0,False,
park-wan-suh,Park Wan-suh,1,0,0,,,False,Seoul,primary,,,,,0,0,False,
patrick-white,Patrick White,3,0,0,,,False,Melbourne,avoided_visited,,,,,0,0,False,
pearl-s-buck,Pearl S. Buck,2,0,0,,,False,"Washington, D.C.",primary,,,,,0,0,False,
pramoedya-ananta-toer,Pramoedya Ananta Toer,1,0,0,,,False,Jakarta,primary,,,,,0,0,False,
rabindranath-tagore,Rabindranath Tagore,1,0,0,,,False,Mumbai,primary,,,,,0,0,False,
robert-frost,Robert Frost,1,0,0,,,False,"Washington, D.C.",primary,,,,,0,0,False,
robert-louis-stevenson,Robert Louis Stevenson,1,0,0,,,False,Glasgow,avoided_visited,,,,,0,0,False,
robertson-davies,Robertson Davies,2,0,0,,,False,Toronto,primary,,,,,0,0,False,
rosalia-de-castro,Rosalia de Castro,1,0,0,,,False,Madrid,primary,,,,,0,0,False,
rosario-castellanos,Rosario Castellanos,1,0,0,,,False,Mexico City,primary,,,,,0,0,False,
rudyard-kipling,Rudyard Kipling,1,0,0,,,False,London,primary,,,,,0,0,False,
sanmao,Sanmao,1,0,0,,,False,Taipei,primary,,,,,0,0,False,
saul-bellow,Saul Bellow,1,0,0,,,False,"Washington, D.C.",primary,,,,,0,0,False,
shen-congwen,Shen Congwen,1,0,0,,,False,Beijing,primary,,,,,0,0,False,
shin-saimdang,Shin Saimdang,1,0,0,,,False,Seoul,primary,,,,,0,0,False,
simone-de-beauvoir,Simone de Beauvoir,1,0,0,,,False,Lyon,avoided_visited,,,,,0,0,False,
sinclair-lewis,Sinclair Lewis,1,0,0,,,False,"Washington, D.C.",primary,,,,,0,0,False,
sor-juana-ines-de-la-cruz,Sor Juana Ines de la Cruz,1,0,0,,,False,Mexico City,primary,,,,,0,0,False,
sultan-bin-ali-al-owais,Sultan bin Ali Al Owais,1,0,0,,,False,Abu Dhabi,avoided_visited,,,,,0,0,False,
thomas-mann,Thomas Mann,1,0,0,,,False,Munich,avoided_visited,,,,,0,0,False,
toni-morrison,Toni Morrison,2,0,0,,,False,"Washington, D.C.",primary,,,,,0,0,False,
virginia-woolf,Virginia Woolf,1,0,0,,,False,Manchester,avoided_visited,,,,,0,0,False,
walt-whitman,Walt Whitman,1,0,0,,,False,"Washington, D.C.",primary,,,,,0,0,False,
william-faulkner,William Faulkner,2,0,0,,,False,"Washington, D.C.",primary,,,,,0,0,False,
william-golding,William Golding,1,0,0,,,False,Manchester,avoided_visited,,,,,0,0,False,
william-shakespeare,William Shakespeare,1,0,0,,,False,Manchester,avoided_visited,,,,,0,0,False,
xiao-hong,Xiao Hong,1,0,0,,,False,Beijing,primary,,,,,0,0,False,
xuan-quynh,Xuan Quynh,1,0,0,,,False,Ho Chi Minh City,primary,,,,,0,0,False,
yasunari-kawabata,Yasunari Kawabata,2,0,0,,,False,Osaka,avoided_visited,,,,,0,0,False,
yi-kwang-su,Yi Kwang-su,1,0,0,,,False,Seoul,primary,,,,,0,0,False,
yi-sang,Yi Sang,2,0,0,,,False,Seoul,primary,,,,,0,0,False,
yun-dong-ju,Yun Dong-ju,2,0,0,,,False,Seoul,primary,,,,,0,0,False,
